Translation Key,Translated Value,Category
st_kukri,Кукри,melee
mutant_pseudogigant_eye,Глаз псевдогиганта,mutant_parts
ui_inv_outfit_wound_protection,Защ. от разрыва,belt_attachments
st_prt_o_retardant_3,Обработанные нПВХ ткани «Класса B»,item_drop_locations
st_af_cell_name,"Клетка",artefacts
stalker_proto_exo_outfit_name,Комбинезон «Заря» с протоэкзоскелетом,item_drop_locations
st_af_fuzz_kolobok_name,«Колобок»,artefact_recipes
ui_inv_damage,Урон,ammo
st_sledge_hammer,Кувалда,melee
st_barrel_11,Ствол [АС|ПП] 9мм,item_drop_locations
st_af_peas_name,"Луна",artefacts
st_hide_chimera_name,Шкура химеры,mutant_parts
st_wpn_hk416,HK416,weapons
st_rank_ssu,ССУ,weapon_drops
st_prt_o_retardant_9,Полимерные листы (покрытие из сульфата висмута),item_drop_locations
st_adrenalin,Эпинефрин,disassemble
st_wpn_mp7,HK MP7,weapon_drops
st_barrel_7,Ствол [А|В] 7.62мм,item_drop_locations
cs_scientific_outfit_good_name,Научный комбинезон ЧН-4а «Исследователь»,item_drop_locations
st_wpn_benelli_m1014,M1014,weapon_drops
merc_wolven_outfit_name,Бронежилет наёмников «Гиена»,outfit_exchange
trenchcoat_dolg_brown_outfit_name,Плотный плащ «Долга»,outfit_exchange
st_marijuana,Марихуана,medicine
st_antirad,Противорадиационный препарат,item_drop_locations
st_wpn_ak74u_n1,АКС-74У,weapons
st_drink_crow,«Клюв»,eatable
st_rank_sniper,отряд со снайперской винтовкой,weapon_drops
st_wpn_kiparis,ОЦ-02 Кипарис,weapon_drops
ui_inv_recoil,Контроль отдачи,weapons
st_device_torch_nv_1_name,Налобный фонарик с 1ПН93-1,disassemble
st_chili,Бобы «Чили»,disassemble
st_glucose,Большая инъекция глюкозы,disassemble
st_af_ice_name,«Снежинка»,artefact_recipes
novice_outfit_camo_name,Куртка стрелка,item_drop_locations
st_flask,Очищенная вода,eatable
stalker_drought_outfit_name,Комбинезон «Скиталец»,outfit_exchange
st_af_blood_name,«Кровь камня»,artefact_recipes
mutant_psevdodog_meat,Мясо псевдособаки,mutant_parts
svoboda_light_proto_exo_outfit_name,Комбинезон «Ветер свободы» с протоэкзоскелетом,item_drop_locations
ui_inv_outfit_strike_protection,Гашение удара,belt_attachments
st_wpn_ak12_mono_kit,АК12 2012 "Монолит" 2.0,weapons
st_wpn_scar_siber_m2,FN SCAR-H "Эксперт",weapons
helm_spartan,Шлем M10 «Спартанец»,outfits
st_wpn_desert_eagle_nimble,Desert Eagle «Степной орёл»,weapons
ammo-7.62x54-ap,Патроны 7,62x54 мм БП,ammo
st_af_kislushka_name,"Кислушка",artefacts
st_bolt_10,Вращающаяся личинка [8 упоров][А](Затвор),item_drop_locations
st_bolt_2,Поворотная личинка [2 упора][П](Затвор),item_drop_locations
mutant_burer_hand,Рука бюрера,mutant_parts
st_data_export_disassemble_amount,Количество,disassemble
ui_ammo_types,Боеприпасы,weapons
st_af_ah_e1,Аномальный образец "Сувенир",artefacts
st_data_export_stash_chance,Шанс %,item_drop_locations
st_recipe_drug_4,Рецепты лекарства #4,disassemble
st_wpn_pl15,Пистолет Лебедева ПЛ-15,weapons
st_prt_w_p_trigger_2,Двухрежимный УСМ (Спусковой крючок),item_drop_locations
st_wpn_ks23_vorkuta,KS-23M «Воркута»,weapons
st_wpn_ksg,KSG-23,weapon_drops
st_bolt_carrier_5,Продольно-скользящий полусвободный затвор (Продольно-скользящий затвор),item_drop_locations
st_wpn_mp153_m1,«Карабинер»,weapons
st_data_export_used_in_crafting,Используется в крафте,artefacts
ui_inv_outfit_explosion_protection,Защ. от взрыва,belt_attachments
gamma_wound_cap,Предел Разрыва,artefacts
st_af_mincer_meat_name,«Ломоть мяса»,artefact_recipes
st_heavy_sewing_thread,Полевой швейный набор,item_drop_locations
st_wpn_ak12_m1,АК-12 (обр. 2016 г.),weapon_drops
st_data_export_light_attack_power,Сила легкой атаки,melee
scientific_outfit_name,Комбинезон «СЕВА»,outfit_exchange
st_af_baloon_descr,Артефакт представляет собой несколько соединённых между собой полых образований органической природы. При использовании выделяет газообразное вещество, способное нейтрализовать химические или токсичные частицы в организме человека. А ввиду того, что температура «Пузыря» всегда постоянна, вне независимости от условий его хранения, он к тому же может поглощать и тепло, создавая при этом тепловой барьер вокруг себя и носителя, который защищает от воздействия высоких температур и огня.\nВместе с этим, артефакт сильно нагружает нервную систему его обладателя, что представляет большую опасность при воздействии на последнего пси-волн. Например, многие сталкеры так описывают своё состояние, когда они решали использовать «Пузырь» в зонах повышенного пси-излучения: они за короткий промежуток теряли ориентацию в пространстве, быстро впадая в панику, и единственное что потом оставалось делать - это стараться кричать настолько сильно, насколько это возможно, потому что сталкеры, как они говорят, не могли услышать даже собственных криков. \n,artefacts
st_af_night_star_descr,Светящийся артефакт, способный генерировать вокруг себя гравитационное поле. Широко используется сталкерами вместе с артефактом «Грави» для лучшей грузоподъёмности. А так как он весьма дешёвый, то даже сталкеры с ограниченным бюджетом могут позволить себе перекупить этот артефакт.\nБлагодаря своему красивому внутреннему ядру весьма ценится ювелирами по всему миру, однако следует соблюдать осторожность при обработке: неправильная полировка артефакта может привести к взрыву, способному разрушить небольшое здание. Поэтому для минимизации вероятности взрыва полировку рекомендуется осуществлять при помощи специализированного автоматизированного оборудования. Радиацию излучает лишь внешнее ядро артефакта.\n \nИз практических достоинств артефакта следует отметить его возможность поглощать токсины, защищая таким образом своего обладателя, что делает «Ночную звезду» довольно ценной среди охотников за химическими артефактами.\nОднако не стоит забывать, что под воздействием высоких температур артефакт легко нагревается вплоть до вероятности самовоспламенения. \n,artefacts
st_gas_tube_11,Газовая трубка [ПП] (Газовая трубка),item_drop_locations
st_trigger_components_1,Однорежимный УСМ куркового типа (Спусковой крючок),item_drop_locations
st_af_cocoon_name,"Кокон",artefacts
st_data_export_heavy_attack_power,Сила тяжелой атаки,melee
dolg_pantsir_outfit_name,ПСЗ-7п «Панцирь»,outfit_exchange
ui_inv_outfit_chemical_burn_protection,Химзащита,belt_attachments
st_wpn_toz34_mark4_23,ТОЗ-34 "Охотник на химер",weapon_drops
st_kolbasa,Упаковка старого мяса,item_drop_locations
st_af_cooler_name,Модуль охлаждения,disassemble
st_af_spaika_name,"Спайка",artefact_recipes
st_af_ah_o1_descr,Почти сформированный артефакт, состоящий из сплава, состоящего в основном из железа, висмута, кадмия и никеля. Образуется в огненных аномалиях. Не обладает никакими полезными свойствами, и большинство сталкеров считают его обычным хламом. Единственная примечательная особенность этого предмета - очень своеобразная форма тора. Из-за следов радиации он непригоден в качестве сувенира за пределами Зоны и не представляет значительной ценности.,artefacts
mutant_pseudogigant_hand,Лапа псевдогиганта,mutant_parts
st_wpn_sig226_226sig_kit,Sig Sauer P226R Модернизированный,weapons
st_af_lighthouse_descr,Сгусток массы сверхплотных черных металлов. Это один из самых загадочных артефактов Зоны, так как его внутренняя работа до сих пор не дает покоя величайшим умам современной науки. Маяк в активном состоянии способен обнаружить любое убийство одного живого существа другим, независимо от расстояния между ними, при условии, что намерение убийства и причинно-следственная связь предельно ясны. Результирующая реакция не менее загадочна - убийца почти мгновенно "телепортируется" к месту, где жертва испустила последний вздох. \n \n %c[0,255,255,255]ОСОБЕННОСТИ:\n %c[d_cyan] • %c[ui_gray_2] не может быть помещён в контейнер,artefacts
st_wpn_toz34_bull,ТОЗ-34 «Bull»,weapons
mutant_flesh_meat,Мясо плоти,mutant_parts
st_af_eye_descr,Этот артефакт, действительно напоминающий орган зрения, способен при травмах ускорить процессы обмена веществ, что способствует скорому заживлению ран. Кроме того, среди бывалых сталкеров бытует поверье, будто «Глаз» способен приносить удачу. Правда это или нет, но его положительные эффекты действительно довольно мощные.\n \nПомимо заживления ран, артефакт также может ещё и противодействовать пагубному влиянию пси-волн.\nСреди недостатков стоит выделить два момента:\nПервое - артефакт является катализатором химических реакций, сильно повышая их скорость. Поэтому при исследовании токсичных районов настоятельно рекомендуется хранить артефакт в контейнере СИМК или хорошо защищённом рюкзаке.\nВторое - он является отличным проводником, за что его в народе иногда называют «Медным глазом». \n,artefacts
st_wpn_svu,ОЦ-03 СВУ,weapon_drops
st_sewing_thread,Простая швейная нить,item_drop_locations
st_af_compass_name,«Компас»,artefact_recipes
st_data_export_first_aid_leg,Временно ноги,medicine
st_wpn_k98_mod_silen98,Mauser 98k "Лесник" (с адаптером для глушителя),weapons
st_gas_tube_2,Цевьё продольно-скользящего типа [Р] (Газовая трубка),item_drop_locations
st_wpn_m4_butcher,Colt М4А1 Мясник,weapons
st_duct_tape,Изолента,disassemble
st_af_camelbak_name,«Верблюжий горб»,disassemble
bandit_exolight_outfit_name,Трофейный тяжёлый бронекостюм,outfit_exchange
st_wpn_pm_bas,ПМ,weapons
st_wpn_type63,Тип 63,weapons
st_af_ball_name,"Мяч",artefacts
st_hide_controller_name,Скальп контролёра,mutant_parts
banditmerc_outfit_name,Лёгкий бандитский комбинезон,outfit_exchange
st_data_export_stash_item,Предмет,stash_drop_rates
st_af_tlf_lost_soul_descr,Хотя этот артефакт напоминает обычную Душу, он обладает необычными свойствами. Он обеспечивает большую защиту от телепатии и не имеет негативных эффектов.,artefacts
st_wpn_fal_sa58_osw,DS Arms SA-58,weapon_drops
st_axe,Охотничий топор,melee
st_wpn_rapide,Kimber Rapide .45 ACP,weapon_drops
st_prt_w_p_spring_2,Возвратная пружина 9мм (Пружина),item_drop_locations
st_af_dummy_glassbeads_name,«Мамины бусы»,artefact_recipes
st_af_vyvert_descr,Артефакт причудливой формы, внешне похожей на кораллы, возникает в местах повышенной гравитационной активности. Своего рода губка, которая в силу своих возможностей поглощает химические и токсичные элементы и вещества. Артефакт в равной степени защищает своего носителя как от внешнего воздействия токсичных веществ, так и от уже попавших в организм химических частиц.\nБлагодаря исследованиям учёным и сталкерам-«испытателям» известно, что артефакт совершенно негорюч, но обладает сильной электропроводностью. Тем не менее, ввиду своей гравитационной природы, предоставляет хорошую защиту от всех видов физического воздействия. Единственная существенная проблема его использования - это его собственный вес, который порой достигает 5 кг. \n,artefacts
st_af_dummy_battery_descr,Артефакт является довольно популярным в Зоне и ценится в основном за свои тонизирующие свойства и лёгкость, имея при этом ещё и ряд недостатков.\nСтоит отметить, что он, будучи мощным изолятором, неплохо защищает носителя от поражения электрическим током. Однако необходимо быть столь же осторожным при его использовании в зонах термической активности или рядом с открытыми источниками огня: так как артефакт хоть и способен поглощать тепло, он, увы, не обладает достаточными для этого свойствами, в результате чего он может способствовать либо распространению огня, либо и вовсе внезапно воспламениться.\nПобочным же эффектом тонизирующих свойств «Батарейки» является повышенная восприимчивость её носителя к сильным ударам. \n,artefacts
st_af_grid_name,Титановая сетка,disassemble
st_detonation_time,Время действия,explosives
st_detonation_radius,Радиус взрыва,explosives
dolg_heavy_outfit_name,ПСЗ-9д «Броня "Долга"»,outfit_exchange
st_af_sponge_descr,Артефакт «Губка» всегда бурно обсуждался среди экологов. Так, например, некоторые полагают, что этот артефакт обусловлен основной формой организмов, в то время как другие считают его развитой формой жизни с самосознанием, унаследованным от живых существ. Однако, несмотря на столь любопытные теории, окружающие артефакт, все согласны в одном: «Губка» определённо двигается, и не только: данный артефакт порой пытается «схватить» объект или предмет, с которым он соприкасается, поэтому помещение артефакта в контейнер может оказаться довольно непростой задачей.\nЧто же до самих свойств, то «Губка» действует как мощный резистор и способна поглотить даже смертельные разряды электричества. С другой же стороны, это аномальное образование под воздействием относительно невысоких температур способно очень сильно нагреваться и выделять тепло. Более того, существуют задокументированные случаи и самовоспламенения артефакта. \n,artefacts
st_data_export_stash_type_rare,Редкий,item_drop_locations
st_wpn_grach,MP-443 «Грач»,weapon_drops
army_nosorog_outfit_name,Армейский экзоскелет «Носорог»,outfit_exchange
st_wpn_toz34,ТОЗ-34,weapon_drops
stalker_bear_outfit_name,Комбинезон «Медведь»,outfit_exchange
st_af_electra_flash_descr,Данный артефакт выглядит как шар, наполненный плазмой, который очень похож на «Лунный свет». Очень лёгкий и ценный. Однако главным же достоинством «Вспышки» является то, что она, по сути - мощный конденсатор, способный накапливать в себе большое количество энергии без представления опасности для обладателя артефакта. К тому же ещё и благотворным образом влияет на психическое состояние организма, снижая воздействие пси-волн на него.\nТем не менее, наличие артефакта негативно влияет на физическое состояние организма и тела обладателя, делая последнего крайне восприимчивым к сильным физическим воздействиям, в частности, ударов.\n \n«Вспышка» является отличным источником энергии, чем учёные и сталкеры уже не преминули воспользоваться. По слухам, более глубокие исследования «Вспышки» за пределами Зоны заинтересовали также и военный сектор, предполагающий возможную вепонизацию энергии данного артефакта. \n,artefacts
st_wpn_sr1mp_new,Serdyukov SR-1MP Gyurza 9x21 pistol,weapon_drops
trenchcoat_brown_outfit_name,Тяжёлый коричневый плащ,outfit_exchange
ammo-9x19-ap,Патроны 9x19 мм БП,item_drop_locations
st_sharpening_stones,Набор для заточки «3:1»,item_drop_locations
l05_bar,Бар,item_drop_locations
st_prt_o_ballistic_10,Пластины из полиэтилена «А-типа» с бронежилетом,item_drop_locations
st_af_camelbak_up_name,Эпинефриновый гидратор,disassemble
ammo-7.62x51_ap,Патроны 7,62x51 мм НАТО AP,ammo
st_barrel_4,Ствол [В] 7.62мм,item_drop_locations
st_wpn_hk417,HK417,weapons
st_data_export_used_in_cooking,Используется в кулинарии,eatable
st_wpn_raptr,RAPTR Дробовик,weapon_drops
st_drug_antidot,Антидот,medicine
st_wpn_tt33_custom,ТТ-33 7.62x25 ТТ,weapon_drops
st_helm_resp,Респиратор,outfits
st_knife_6x4,Штык-нож 6х4,melee
ui_inv_satiety,Насыщение,belt_attachments
merc_outfit_name,Лёгкий комбинезон наёмников,outfit_exchange
st_wpn_ppsh41,ППШ-41,weapon_drops
greh_exo_outfit_name,Экзоскелет «Ирий»,outfit_exchange
st_prt_w_p_barrel_3,Ствол .45 (Ствол),item_drop_locations
st_salicidic_acid,Ампула салициловой кислоты,disassemble
st_monolith_prayer_1_of_3_name,Молитва Монолиту (часть 1 из 3),disassemble
ammo-338-lapua,Патроны .338 Lapua Magnum,ammo
mutant_boar_chop,Мясо кабана,mutant_parts
st_wpn_scar_siber_black,FN SCAR-H "Черный",weapons
isg_lcs_urban_outfit_name,Комбинезон ИИГ с «городским камуфляжем»,outfit_exchange
st_wpn_ak74_isg,Rifle Dynamics RD-74N ISG Tactical,weapon_drops
st_wpn_mk23,HK MK23,weapons
st_prt_o_support_1,Каркас экзоскелета,disassemble
ui_inv_wrange,Макс. дистанция,ammo
st_af_lighthouse_name,"Маяк",artefacts
st_chocolate,Шоколад «Российский»,eatable
st_wpn_rpk74_16,Ручной пулемет РПК-16 5.45x39,weapon_drops
st_antirad_kalium,Йодистый калий,medicine
st_bolt_11,Нагнетатели с ударником от бокфлинта [Р](Затвор),item_drop_locations
ammo-7.62x39_ap,Патроны 7,62x39 мм M43,item_drop_locations
st_bolt_7,Поворотная личинка [4 упора][АС](Затвор),item_drop_locations
st_wpn_am17,АМ-17,weapons
st_wpn_dvl10,ДВЛ-10 "Урбана",weapon_drops
st_wpn_sig220_n_u2p2g0r,Sig Sauer P220 "9" Модернизированный,weapons
st_rebirth,Наркотический анальгетик «Возрождение»,disassemble
specops_dolg_outfit_name,ПС5-Б «Бериллиевая защита»,item_drop_locations
st_wpn_m82,Barrett M82,weapons
st_bolt_5,Поворотная личинка [3 упора][В](Затвор),item_drop_locations
st_af_sun_name,"Солнце",artefact_recipes
st_helm_hardhat,Стальной шлем,outfits
specops_outfit_name,Бронекостюм «Берилл-5М»,outfit_exchange
st_wpn_ak74u_isg,Rifle Dynamics RD-74U ISG,weapons
st_wpn_ump45_custom,Заказной UMP-45,weapon_drops
st_tea,Чай Бороды,eatable
exo_outfit_name,Экзоскелет,outfit_exchange
st_cigar3,Сигареты "Camel Classic",eatable
st_wpn_ks23_kaban,КС-23М «Дрозд»,weapon_drops
st_welding_goggles,Сварочные очки,item_drop_locations
st_af_black_descr,Потрескивающий от избытка энергии фрагмент Монолита. По свойствам отличается от привычных артефактов. С одной стороны - бодрит тело, а с другой - кажется, высасывает энергию и испускает опасное излучение. Всего лишь частичка былой мощи Исполнителя желаний.,artefacts
st_prt_w_p_trigger_3,Двухрежимный [ДР|ОР] УСМ (Спусковой крючок),item_drop_locations
st_prt_o_ballistic_6,Пластины из кевлара «AP» с композитом из усиленного титана,item_drop_locations
bandit_novice_alt_outfit_name,Кольчужная куртка,item_drop_locations
st_ied_rpg,Самодельное взрывное устройство (РПГ-7),disassemble
st_wpn_l85_m1,L85 A2,weapons
dolg_specops_red_outfit_name,ПСЗ-Б2 «Витязь»,item_drop_locations
st_af_ice_descr,Внешне артефакт похож на «Колобок», впрочем, существует мнение что это и есть «Колобок», свойства которого усилились после воздействия мощного электрического поля. Артефакт способен резко увеличивать мышечный тонус носителя, тем самым повышая выносливость до немыслимых пределов. При этом относительно лёгкий и не занимает много места.\nОднако имеет аж целый ряд недостатков: при поглощении эффектов окружающих его термических, химических и пси-аномалий данный артефакт их ещё и усиливает. А в случае с конкретно термическим воздействием всё и вовсе плохо. \nТак что при использовании «Снежинки» стоит кардинально взвесить все плюсы и минусы. \n,artefacts
st_wpn_mk47,CMMG Mk47 Mutant,weapon_drops
st_drug_anabiotic,Анабиотик,item_drop_locations
st_af_medusa_name,«Медуза»,artefact_recipes
st_wpn_pkm_zenit_siber,ПКМ "Зенит",weapons
ghillie_outfit_name,Маскировочный костюм,outfit_exchange
st_wpn_ak103,АК-103,weapon_drops
st_gas_tube_10,Эжектор от курковки [Р] (Газовая трубка),item_drop_locations
st_ground_coffee,Молотый кофе,eatable
military_monolit_outfit_name,Бронекостюм «СКАТ-9» «Монолита»,outfit_exchange
st_wpn_pp2000_oper,ПП-2000 "Оператор",weapons
st_data_export_jump_height,Высота прыжка,belt_attachments
st_af_serofim_descr,Серафим долгое время считался всего лишь красивой безделушкой, которую можно продать. Так было до тех пор, пока одна группа сталкеров-ветеранов не вернулась из глубокого похода и не поделилась своей историей. По их словам, в какой-то момент во время похода они попали в засаду, устроенную снайпером. Их лидер был убит мгновенно и упал замертво с расколотым пополам черепом. Во время ведения огня на подавление они заметили, что его ремень загорелся, и когда он встал, на нем не было ни царапины, а в его шлеме все еще были явные входные и выходные отверстия от пули снайпера. Им удалось отступить и выяснить, что артефакт Серафим, который лидер хранил как свой талисман, исчез, оставив после себя лишь светящуюся пыль. С тех пор люди, слышавшие об этой истории, очень дорожат своими Серафимами, веря, что артефакт вернет их из мертвых, если случится самое худшее. Конечно, до сих пор никто не отважился проверить, так ли это на самом деле. \n \n %c[0,255,255,255]ОСОБЕННОСТИ:\n %c[d_cyan] • %c[ui_gray_2] не может быть помещён в контейнер,artefacts
st_wpn_groza_guns_nimble,ОЦ-14-1А «Гроза Долга»,weapon_drops
ui_inv_outfit_artefact_count,Кол-во слотов,outfits
st_af_kislushka_descr,Полый сферический артефакт, напоминающий прозрачный пергамент. Покрытый слоем пленки, он приятен на ощупь. Кислушка активируется, когда на него попадает теплая кровь, и, используя энергию пользователя, полученную от сжигания калорий, начинает выделять стимулятор, который помогает любой кровоточащей ране свернуться и закрыться гораздо быстрее. Эта способность принесла ему большую популярность в мире медицины, поэтому он так дорого стоит.\n \n %c[0,255,255,255]ОСОБЕННОСТИ:\n %c[d_cyan] • %c[ui_gray_2] не может быть помещён в контейнер,artefacts
st_equ_milpack_name,Армейский рюкзак,disassemble
st_data_export_stash_map,Локация,item_drop_locations
st_itm_mapkit_5,Карта аномалий (Кладбище техники),disassemble
st_data_export_post_heal_head,Полностью голову,medicine
st_compression_bag,Компрессионный мешок,disassemble
st_wpn_pl15_upgr,Upgraded Lebedev PL-15 9x19 pistol,weapons
st_wpn_guns_groza,ОЦ-14-4A,weapon_drops
st_detector2,Детектор «Медведь» (Уровень 2),disassemble
st_bolt_carrier_10,Продольно-скользящий затвор с запиранием поворотом (Продольно-скользящий затвор),item_drop_locations
l06_rostok,Дикая территория,item_drop_locations
st_ui_number_of_uses,Кол-во использований,medicine
st_af_repei_descr,Обычный артефакт, порожденный гравитационными аномалиями. Несмотря на свой колючий вид, чертополохи не способны проникать в плоть или каким-либо образом повреждать тело. Недавние эксперименты и наблюдения подтвердили, что они вступают в реакцию с различными тяжелыми металлами - особенно заметна реакция со свинцом. Различные медицинские отчеты раненых сталкеров и солдат показывают, что пули, выпущенные пользователем этого артефакта, сбривают часть внешнего материала и становятся зазубренными и острыми при попадании в тело, создавая меньшие, но гораздо более тяжелые кровоточащие раны. Что еще хуже, любая пуля, недавно побывавшая вблизи чертополоха, начинает дергаться при контакте с железом, содержащимся в человеческой крови, в результате чего рана становится болезненной и трудно закрываемой в течение некоторого времени.\n \n %c[0,255,255,255]ОСОБЕННОСТИ:\n %c[d_cyan] • %c[ui_gray_2] не может быть помещён в контейнер,artefacts
st_wpn_walther_p99_mod9,Walther P99 Модернизированный,weapons
st_data_export_pelts_quality_max,Максимальное качество шкуры,melee
renegademerc_outfit_name,Лёгкий комбинезон ренегатов,outfit_exchange
light_isg_outfit_name,Бронежилет IBA-З ИИГ,outfit_exchange
st_barrel_1,Ствол [Р] 18.5мм,item_drop_locations
exo_dolg_wood_outfit_name,ПСЗ-101 «Лесник»,outfit_exchange
st_gamma_recipe_advanced_1,Руководство выживания Том 2,disassemble
st_wpn_svt40,СВТ-40,weapons
svoboda_heavy_outfit_name,Комбинезон «Страж свободы»,outfit_exchange
st_wpn_remington870,Remington 870,weapon_drops
ui_mcm_menu_exo,Электропривод экзокостюма,outfits
renegade,Ренегаты,weapon_drops
st_grenade_rgd5,Граната РГД-5,weapon_drops
st_gas_tube_9,Эжектор от бокфлинта [Р] (Газовая трубка),item_drop_locations
dolg_scientific_wood_outfit_name,ПС5-9Мд «Исследователь»,outfit_exchange
st_knife_combat,Штык-нож M9,melee
st_data_export_can_be_cooked,Можно приготовить,eatable
st_af_soul_descr,Уникальный органический артефакт с уникальным свойством выделять слизь, которая неизвестным пока что публике образом увеличивает общую скорость регенерации организма после травм любой природы, снижая при этом боль.\nКроме того, артефакт к тому же ослабляет ещё и воздействие пси-волн на организм носителя, правда, негативно при этом влияя на его выносливость.\nДругим небольшим недостатком является склонность артефакта к накоплению радиоактивных веществ при попадании в очаг радиации.\nВвиду особенностей воздействия на организм, низкого веса и приятного внешнего вида представляет особый интерес для коллекционеров. \n,artefacts
st_wpn_mk14,Mk 14 EBR,weapons
st_af_vaselisk_name,"Василиск",artefacts
st_wpn_sv98_custom,Заказная СВ-98,weapons
st_af_chelust_name,"Цепь",artefacts
st_swiss,Швейцарский нож,disassemble
st_wpn_akms,АКМС,weapons
st_wpn_bm16_full,ТОЗ-66,weapon_drops
